Composition (mass%);Phase;L*;a*;b*;Ref;References;
Au 99.9;Au;86;4.7;36.9;[1];[1];U.E. Klotz, Metallurgy and processing of coloured gold intermetallics — Part I: Properties and surface processing, Gold Bulletin 43 (2010) 4–10. https://doi.org/10.1007/BF03214961
Ag;Ag;92.65;-0.31;5.05;[6];[6];S. Henderson, D. Manchanda, White gold alloys:, Gold Bull 38 (2005) 55–67. https://doi.org/10.1007/BF03215234.
Cu;Cu;87.2;13.4;14.9;[9];[8];"DIN EN ISO 8654:2020-05, Schmuck_- Farben von Goldlegierungen_- Bezeichnung, Farbenreihe und Kennzeichnung (ISO_8654:2018_+ Amd_1:2019); Deutsche Fassung EN_ISO_8654:2018_+ A1:2019, (n.d.). https://doi.org/10.31030/3136633."
Au58.5 Ag32 Cu9.5;0N;93.8;-3.01;21.38;[8];[9];C. Leygraf, T. Chang, G. Herting, I. Odnevall Wallinder, The origin and evolution of copper patina colour, Corrosion Science 157 (2019) 337–346. https://doi.org/10.1016/j.corsci.2019.05.025.
Au58.5 Ag24.75 Cu16.75;1N;92.4;0.35;22.24;[8];;
Au75 Ag15.5 Cu9.5;2N;91.1;1.2;26.64;[8];;
Au75 Ag12.5 Cu12.5;3N;90;3.69;23.61;[8];;
Au75 Ag9 Cu16;4N;88.9;6.13;21.23;[8];;
Au75 Ag5 Cu20;5N;87.7;8.32;18.58;[8];;
Au75 Ag0.5 Cu24.5;6N;86.3;10.12;15.57;[8];;
